,time_in,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_in,data_analysis_out,priority
188,8640,0.0,24.8413565664232,,,25.0,143.48605294259687,146.0,257.29879981216254,273.0,395.3817886562283,397.0,434.737183984711,435.0,543.2824984753279,544.0,554.652325409872,1
189,8640,0.0,24.8413565664232,,,25.0,143.48605294259687,146.0,257.29879981216254,288.0,413.1494541819793,415.0,452.22796148495763,453.0,558.5499173032385,559.0,570.6559361102445,1
190,8640,0.0,24.657722959533203,,,25.0,99.85392942272665,100.0,150.5867727531404,168.0,291.18695956464035,366.0,402.7810876587082,403.0,507.80161082570703,508.0,519.2147497996466,1
191,8640,0.0,24.657722959533203,,,25.0,99.85392942272665,100.0,150.5867727531404,238.0,364.0200452869303,372.0,409.71144421738245,410.0,514.6145266499552,515.0,526.9872048473717,1
192,8640,0.0,23.20566137262358,,,24.0,69.11887813208523,72.0,101.53037999823573,119.0,246.1068765148957,290.0,325.67361154872015,326.0,434.7384261331463,435.0,462.7354286609898,1
193,8640,0.0,22.914388517367115,23.0,266.98985261047164,,,267.0,294.39409752395295,319.0,442.1954936173952,448.0,483.41447374159907,484.0,591.7569958477507,592.0,603.2580779230011,1
194,8640,0.0,25.098612566202064,,,26.0,94.2881131058366,95.0,346.2100836999816,362.0,488.23194875031186,503.0,541.884882579312,542.0,651.2614346986265,652.0,663.0050484717121,1
195,8640,0.0,25.098612566202064,,,26.0,94.2881131058366,95.0,346.2100836999816,369.0,501.38277897228727,513.0,549.3658712379347,550.0,656.0321553096692,657.0,667.2928491708681,1
196,8640,0.0,25.447421477700118,,,26.0,588.6984386971089,589.0,619.7740562585968,638.0,764.3517753673696,766.0,802.7459754924148,803.0,913.4903968325489,914.0,925.8472994166095,1
197,8640,0.0,25.447421477700118,,,26.0,588.6984386971089,589.0,619.7740562585968,658.0,780.409665350584,782.0,820.3114698215195,821.0,926.2715356711542,927.0,937.8082433301333,1
